Prompt,EA-bart-base,EA-t5-base,A-bart-base,A-t5-base
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I saw,I saw my neighbour dumping her cats litter trays in the bush at the end of my drives,I saw a homeless person being killed,I saw my best friend after her being away for a long time,I saw a young girl who was suffering from mental health
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I saw,I saw my neighbor hitting his dog,I saw a homeless person being treated badly,I saw someone being rude to a homeless person,I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I saw,I saw a person who had committed suicide. It occurred as part of my job and I did,I saw a homeless man who was unwell and needed immediate medical attention,I saw a mother dumping her baby in a dumpster,I saw a woman being racially abused in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I saw,I saw my neighbour dumping his cats litter trays in the bush at the end of my drives,I saw a homeless person who was unwell and needed immediate medical attention,I saw the news about the petrol ‘shortage’,I saw a young child being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I saw,I saw a dead squirrel in the road with blood around it,I saw a homeless man who had been homeless for months.,I saw someone give a presentation in front of my peers,I saw a woman being racially abused in her home
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I saw,I saw a person who used to be a very good friend who completely ignored me,I saw a dead cat in the street,I saw someone being kicked when down,I saw a homeless man being racially abused in the streets
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I saw,I saw my neighbor hitting his dog,I saw a homeless person being killed,I saw a dog being mistreated,I saw a homeless man being racially abused
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I saw,I saw someone who used to be a very good friend who completely ignored me,I saw a dead cat in the street,I saw someone spit on the floor in the street,I saw a homeless man snatch away his dog
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I saw,I saw my neighbor walking hos dog this morning,I saw a homeless person being treated for mental health problems.,I saw a man abusing his wife,I saw a homeless person being racially
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I saw,I saw a person who used to be a very good friend who completely ignored me,I saw a man walking on the street,I saw a dog walker abuse their pet,I saw a homeless man being killed in the streets of his home town
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I saw,I saw a dead squirrel in the road with blood around it,I saw a homeless man who was unwell and needed immediate medical attention.,I saw a mother dumping her baby in a dumpster,I saw a homeless man being racially abused in the streets of spain by his
